Origem,Destino,Data,Tipo de assento,Preco,Mensagem_rota_indisp,Timestamp_Scraped
"Belo Horizonte (MG),São Paulo (Rod. Tietê) (SP),24/10/2024,CAMA,""R$423,29"",,2024-10-23 18:25:47"
"Belo Horizonte (MG),São Paulo (Rod. Tietê) (SP),24/10/2024,SEMILEITO PREMIUM,""R$179,14"",,2024-10-23 18:25:47"
"Belo Horizonte (MG),São Paulo (Rod. Tietê) (SP),24/10/2024,CAMA,""R$448,29"",,2024-10-23 18:25:47"
"Belo Horizonte (MG),São Paulo (Rod. Tietê) (SP),24/10/2024,SEMILEITO PREMIUM,""R$179,14"",,2024-10-23 18:25:47"
"Belo Horizonte (MG),São Paulo (Rod. Tietê) (SP),25/10/2024,CAMA,""R$317,45"",,2024-10-23 18:25:57"
"Belo Horizonte (MG),São Paulo (Rod. Tietê) (SP),25/10/2024,SEMILEITO PREMIUM,""R$169,19"",,2024-10-23 18:25:57"
"Belo Horizonte (MG),São Paulo (Rod. Tietê) (SP),25/10/2024,CAMA,""R$298,54"",,2024-10-23 18:25:57"
"Belo Horizonte (MG),São Paulo (Rod. Tietê) (SP),25/10/2024,SEMILEITO PREMIUM,""R$164,21"",,2024-10-23 18:25:57"
"Belo Horizonte (MG),São Paulo (Rod. Tietê) (SP),25/10/2024,SEMILEITO PREMIUM,""R$179,14"",,2024-10-23 18:25:57"
"Belo Horizonte (MG),São Paulo (Rod. Tietê) (SP),25/10/2024,CAMA,""R$298,69"",,2024-10-23 18:25:57"
"Belo Horizonte (MG),São Paulo (Rod. Tietê) (SP),25/10/2024,EXECUTIVO,""R$149,17"",,2024-10-23 18:25:57"
"Belo Horizonte (MG),São Paulo (Rod. Tietê) (SP),25/10/2024,EXECUTIVO,""R$149,17"",,2024-10-23 18:25:57"
"Belo Horizonte (MG),São Paulo (Rod. Tietê) (SP),25/10/2024,SEMILEITO PREMIUM,""R$179,14"",,2024-10-23 18:25:57"
"Belo Horizonte (MG),São Paulo (Rod. Tietê) (SP),25/10/2024,CAMA,""R$453,29"",,2024-10-23 18:25:57"
Belo Horizonte (MG),São Paulo (Rod. Tietê) (SP),25/10/2024,CONVENCIONAL,R$,,2024-10-23 18:25:57
"Belo Horizonte (MG),São Paulo (Rod. Tietê) (SP),25/10/2024,EXECUTIVO,""R$109,99"",,2024-10-23 18:25:57"
"Belo Horizonte (MG),São Paulo (Rod. Tietê) (SP),25/10/2024,EXECUTIVO,""R$149,17"",,2024-10-23 18:25:57"
"Belo Horizonte (MG),São Paulo (Rod. Tietê) (SP),25/10/2024,CAMA,""R$483,29"",,2024-10-23 18:25:57"
"Belo Horizonte (MG),São Paulo (Rod. Tietê) (SP),25/10/2024,SEMILEITO PREMIUM,""R$179,14"",,2024-10-23 18:25:57"
"Belo Horizonte (MG),São Paulo (Rod. Tietê) (SP),25/10/2024,EXECUTIVO,""R$109,99"",,2024-10-23 18:25:57"
"Belo Horizonte (MG),São Paulo (Rod. Tietê) (SP),25/10/2024,CAMA,""R$463,29"",,2024-10-23 18:25:57"
"Belo Horizonte (MG),São Paulo (Rod. Tietê) (SP),25/10/2024,SEMILEITO PREMIUM,""R$179,14"",,2024-10-23 18:25:57"
"Belo Horizonte (MG),São Paulo (Rod. Tietê) (SP),25/10/2024,CAMA,""R$463,29"",,2024-10-23 18:25:57"
"Belo Horizonte (MG),São Paulo (Rod. Tietê) (SP),25/10/2024,SEMILEITO PREMIUM,""R$164,21"",,2024-10-23 18:25:57"
"Belo Horizonte (MG),São Paulo (Rod. Tietê) (SP),25/10/2024,EXECUTIVO,""R$109,99"",,2024-10-23 18:25:57"
